userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,Pi_alters_ratio,Pi_ego_alters_ratio
aaron-rutledge,marci-ikeler,1079,331,6.183070219,0.341496862,196,1,6.183070219,0.341496862,5.438976335,0.44275902,5.438976335,0.44275902,5.696165647000001,0.40869882700000004,0.7086614170000001,0.7086614170000001,social network,0.8355709374228274,1.0833381227198873
aaron-rutledge,chuck-masucci,561,204,6.58214412,0.283175938,38,2,5.6792270710000015,0.41097035299999995,5.558916618,0.426987744,5.28202412,0.463114515,5.696165647000001,0.40869882700000004,0.24015748,0.775590551,social network,1.0055579459737474,1.1331437342246151
aaron-rutledge,michael-kantrow,1176,159,7.826165255,0.061313537,34,3,5.459939951,0.44001623700000003,5.667217629,0.412578371,5.142294035,0.480979393,5.696165647000001,0.40869882700000004,0.244094488,0.8503937009999999,social network,1.0766271100650846,1.176855330196482
aaron-rutledge,danny-nathan,1415,173,7.8725363160000015,0.04938388,30,4,5.416979092999999,0.44563087,5.8431704589999995,0.38880763799999996,5.128712305,0.482703365,5.696165647000001,0.40869882700000004,0.22440944899999998,0.866141732,social network,1.0903649351555391,1.181073526790425
aaron-rutledge,andrew-hess,271,132,6.553651341,0.287455268,25,5,5.330416904,0.456871594,5.477707037999999,0.437687149,5.0670296089999995,0.490505701,5.696165647000001,0.40869882700000004,0.16929133899999999,0.8818897640000001,social network,1.11786862065058,1.200164200618075
aaron-rutledge,richard-whitesell,520,84,7.778245281,0.072770602,14,6,5.29669468,0.461225018,5.633934206,0.417024172,5.043454325,0.493476088,5.696165647000001,0.40869882700000004,0.114173228,0.8818897640000001,social network,1.1285205327981036,1.2074321123510343
aaron-rutledge,beep-iams,552,111,7.5206313310000015,0.126552783,13,7,5.241105643,0.468370589,5.576423247,0.424669533,4.999807775,0.498958521,5.696165647000001,0.40869882700000004,0.177165354,0.885826772,social network,1.1460042409174809,1.2208464718691252
aaron-rutledge,thais-lima,664,174,7.044500071,0.21058405600000002,13,8,5.175250425,0.47678703299999997,5.6039665670000005,0.42101373200000003,4.971477796,0.502505436,5.696165647000001,0.40869882700000004,0.212598425,0.897637795,social network,1.1665975077535515,1.2295250262609634
aaron-rutledge,hanna-kim,592,86,7.9173357860000015,0.036587815,8,9,5.150390676000001,0.479950621,5.617310456,0.419238825,4.951996565,0.504939228,5.696165647000001,0.40869882700000004,0.145669291,0.9015748029999999,social network,1.1743381416653784,1.2354800029802877
aaron-rutledge,gardenia,300,85,7.080297197999999,0.20466791199999998,4,10,5.120203322,0.483782329,5.516453157999999,0.43259338399999997,4.927493319,0.507994376,5.696165647000001,0.40869882700000004,0.11023622,0.9055118109999999,social network,1.1837135245802894,1.2429553070383534
