Unnamed: 0,userid_x,userid_y,meetup,N_previous,n_prev_match,CE_alter,Pi_alter,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,Pi_alters_ratio,Pi_ego_alters_ratio,dataset,a_Pi
846,4sq-seoul,siegfrid,8,2366,243,6.653717721088003,0.0934340500821788,1,6.653717721088003,0.0934340500821788,4.62234383648896,0.4704746330246227,4.62234383648896,0.4704746330246227,4.119787261793392,0.5434594420202645,0.13793103448275862,0.13793103448275862,co-locationship,0.17192460532996834,0.8657033011988402,dataset,0.5569924064283384
1994,aaron-cruz,hubert-sawyers-iii,5,411,46,8.36217711311995,0.16728588737115888,1,8.36217711311995,0.16728588737115888,6.389216229864083,0.4157739549552656,6.389216229864083,0.4157739549552656,6.495186184403418,0.4036393541100482,0.043973941368078175,0.043973941368078175,co-locationship,0.4144439477166294,1.030062977560679,dataset,0.4154095512848815
2565,aaron-landry,ed-kohler,111,1953,614,8.253133692942463,0.20889891215212264,1,8.253133692942463,0.20889891215212264,6.299617880056678,0.4409578199932725,6.299617880056678,0.4409578199932725,6.478684346762546,0.4212753054522263,0.2983425414364641,0.2983425414364641,co-locationship,0.495872673875047,1.046721263473817,dataset,0.3905418322715957
3555,aaron-rutledge,marci-ikeler,196,1079,331,6.183070218815978,0.3414968623366974,1,6.183070218815977,0.3414968623366974,5.438976335006054,0.44275902016714985,5.438976335006054,0.44275902016714985,5.69616564717885,0.4086988272322751,0.7086614173228346,0.7086614173228346,co-locationship,0.8355709377717766,1.0833381225131762,dataset,0.5586537391620932
5638,adam-cohen,gina-hughes,3,256,12,7.918367346938775,0.1381945644653549,1,7.918367346938775,0.1381945644653549,5.042874465126597,0.5250321975996224,5.042874465126597,0.5250321975996224,5.057677004754796,0.5233219750599398,0.021798365122615803,0.021798365122615803,co-locationship,0.2640717780856164,1.0032680120866062,dataset,0.357692979443864
6288,adam-fullerton,tara-c,31,374,136,7.6236397763731665,0.26258072706317404,1,7.6236397763731665,0.26258072706317404,6.459088960681659,0.4045130178259809,6.459088960681659,0.4045130178259809,6.73742966520182,0.3719800813228956,0.11784511784511785,0.11784511784511785,co-locationship,0.7058999668190352,1.0874588133520118,dataset,0.3963532120420231
7129,adam-jackson,sam-houston,28,1368,266,8.998933534363806,0.010085498148664716,1,8.998933534363806,0.010085498148664716,4.367187283550944,0.621446386441192,4.367187283550944,0.621446386441192,4.40991271975887,0.6170462789077921,0.06395348837209303,0.06395348837209303,co-locationship,0.016344800209340274,1.0071309198091078,dataset,0.6270839575994562
9111,adam-ostrow,nina-kjarval,8,642,141,7.825425596181388,0.09467948407816264,1,7.825425596181388,0.09467948407816264,4.733660598107053,0.5409858912949667,4.733660598107053,0.5409858912949667,4.785899321634876,0.5347399138965787,0.0528169014084507,0.0528169014084507,co-locationship,0.17705707320077496,1.0116804024462553,dataset,0.5412039439483621
13530,akshay-dodeja,namita-b,94,911,139,8.088256597260616,0.10893286720289412,1,8.088256597260616,0.10893286720289412,6.156298913343651,0.3906955896819016,6.156298913343651,0.3906955896819016,6.283805011430425,0.3744090170529193,0.328804347826087,0.328804347826087,co-locationship,0.29094616379791266,1.0434994134414246,dataset,0.4381047331638884
15026,alastair-green,christopher-callahan,25,1338,206,8.703875250852041,0.06531639051704816,1,8.703875250852041,0.06531639051704816,5.605040255704297,0.4847959570220043,5.605040255704297,0.4847959570220043,5.646034321464603,0.4801577876165585,0.06097560975609756,0.06097560975609756,co-locationship,0.1360310968635338,1.0096596775582234,dataset,0.5374681153915165
